Serial,LeetCode_ID,Problem,Difficulty,Topic,Solved
1,1,Two Sum,Easy,Arrays & Hashing,Yes
2,217,Contains Duplicate,Easy,Arrays & Hashing,No
3,242,Valid Anagram,Easy,Arrays & Hashing,No
4,49,Group Anagrams,Medium,Arrays & Hashing,No
5,347,Top K Frequent Elements,Medium,Arrays & Hashing,No
6,238,Product of Array Except Self,Medium,Arrays & Hashing,No
7,36,Valid Sudoku,Medium,Arrays & Hashing,No
8,271,Encode and Decode Strings,Medium,Arrays & Hashing,No
9,128,Longest Consecutive Sequence,Medium,Arrays & Hashing,No
10,121,Best Time to Buy and Sell Stock,Easy,Arrays & Hashing,No
11,169,Majority Element,Easy,Arrays & Hashing,No
12,75,Sort Colors,Medium,Arrays & Hashing,No
13,56,Merge Intervals,Medium,Arrays & Hashing,No
14,57,Insert Interval,Medium,Arrays & Hashing,No
15,435,Non-overlapping Intervals,Medium,Arrays & Hashing,No
16,560,Subarray Sum Equals K,Medium,Arrays & Hashing,No
17,523,Continuous Subarray Sum,Medium,Arrays & Hashing,No
18,189,Rotate Array,Medium,Arrays & Hashing,No
19,442,Find All Duplicates in an Array,Medium,Arrays & Hashing,No
20,73,Set Matrix Zeroes,Medium,Arrays & Hashing,No
21,125,Valid Palindrome,Easy,Two Pointers,No
22,167,Two Sum II,Medium,Two Pointers,No
23,15,3Sum,Medium,Two Pointers,No
24,18,4Sum,Medium,Two Pointers,No
25,11,Container With Most Water,Medium,Two Pointers,Yes
26,42,Trapping Rain Water,Hard,Two Pointers,No
27,26,Remove Duplicates from Sorted Array,Easy,Two Pointers,Yes
28,27,Remove Element,Easy,Two Pointers,Yes
29,283,Move Zeroes,Easy,Two Pointers,No
30,881,Boats to Save People,Medium,Two Pointers,No
31,977,Squares of a Sorted Array,Easy,Two Pointers,No
32,763,Partition Labels,Medium,Two Pointers,No
33,122,Best Time to Buy and Sell Stock II,Medium,Sliding Window,No
34,3,Longest Substring Without Repeating Characters,Medium,Sliding Window,Yes
35,424,Longest Repeating Character Replacement,Medium,Sliding Window,No
36,567,Permutation in String,Medium,Sliding Window,No
37,76,Minimum Window Substring,Hard,Sliding Window,No
38,239,Sliding Window Maximum,Hard,Sliding Window,No
39,904,Fruit Into Baskets,Medium,Sliding Window,No
40,1004,Max Consecutive Ones III,Medium,Sliding Window,No
41,340,Longest Substring with At Most K Distinct Characters,Medium,Sliding Window,No
42,438,Find All Anagrams in a String,Medium,Sliding Window,No
43,992,Subarrays with K Different Integers,Hard,Sliding Window,No
44,1423,Maximum Points You Can Obtain from Cards,Medium,Sliding Window,No
45,1493,Longest Subarray of 1's After Deleting One Element,Medium,Sliding Window,No
46,209,Minimum Size Subarray Sum,Medium,Sliding Window,No
47,20,Valid Parentheses,Easy,Stack,Yes
48,155,Min Stack,Medium,Stack,No
49,150,Evaluate Reverse Polish Notation,Medium,Stack,No
50,22,Generate Parentheses,Medium,Stack,No
51,739,Daily Temperatures,Medium,Stack,No
52,853,Car Fleet,Medium,Stack,No
53,84,Largest Rectangle in Histogram,Hard,Stack,No
54,496,Next Greater Element I,Easy,Stack,No
55,503,Next Greater Element II,Medium,Stack,No
56,735,Asteroid Collision,Medium,Stack,No
57,394,Decode String,Medium,Stack,No
58,402,Remove K Digits,Medium,Stack,No
59,227,Basic Calculator II,Medium,Stack,No
60,704,Binary Search,Easy,Binary Search,Yes
61,35,Search Insert Position,Easy,Binary Search,Yes
62,74,Search a 2D Matrix,Medium,Binary Search,No
63,875,Koko Eating Bananas,Medium,Binary Search,No
64,153,Find Minimum in Rotated Sorted Array,Medium,Binary Search,No
65,33,Search in Rotated Sorted Array,Medium,Binary Search,No
66,981,Time Based Key-Value Store,Medium,Binary Search,No
67,4,Median of Two Sorted Arrays,Hard,Binary Search,No
68,1011,Capacity To Ship Packages Within D Days,Medium,Binary Search,No
69,410,Split Array Largest Sum,Hard,Binary Search,No
70,162,Find Peak Element,Medium,Binary Search,No
71,378,Kth Smallest Element in a Sorted Matrix,Medium,Binary Search,No
72,278,First Bad Version,Easy,Binary Search,Yes
73,206,Reverse Linked List,Easy,Linked List,No
74,21,Merge Two Sorted Lists,Easy,Linked List,No
75,143,Reorder List,Medium,Linked List,No
76,19,Remove Nth Node From End of List,Medium,Linked List,No
77,138,Copy List with Random Pointer,Medium,Linked List,No
78,2,Add Two Numbers,Medium,Linked List,No
79,141,Linked List Cycle,Easy,Linked List,No
80,146,LRU Cache,Medium,Linked List,No
81,23,Merge k Sorted Lists,Hard,Linked List,No
82,25,Reverse Nodes in k-Group,Hard,Linked List,No
83,234,Palindrome Linked List,Easy,Linked List,No
84,160,Intersection of Two Linked Lists,Easy,Linked List,No
85,328,Odd Even Linked List,Medium,Linked List,No
86,430,Flatten a Multilevel Doubly Linked List,Medium,Linked List,No
87,460,LFU Cache,Hard,Linked List,No
88,287,Find the Duplicate Number,Medium,Linked List,No
89,226,Invert Binary Tree,Easy,Trees,No
90,104,Maximum Depth of Binary Tree,Easy,Trees,No
91,543,Diameter of Binary Tree,Easy,Trees,No
92,110,Balanced Binary Tree,Easy,Trees,No
93,100,Same Tree,Easy,Trees,No
94,572,Subtree of Another Tree,Easy,Trees,No
95,235,Lowest Common Ancestor of a BST,Medium,Trees,No
96,102,Binary Tree Level Order Traversal,Medium,Trees,No
97,199,Binary Tree Right Side View,Medium,Trees,No
98,1448,Count Good Nodes in Binary Tree,Medium,Trees,No
99,98,Validate Binary Search Tree,Medium,Trees,No
100,230,Kth Smallest Element in a BST,Medium,Trees,No
101,105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,Trees,No
102,124,Binary Tree Maximum Path Sum,Hard,Trees,No
103,297,Serialize and Deserialize Binary Tree,Hard,Trees,No
104,113,Path Sum II,Medium,Trees,No
105,114,Flatten Binary Tree to Linked List,Medium,Trees,No
106,116,Populating Next Right Pointers in Each Node,Medium,Trees,No
107,987,Vertical Order Traversal of a Binary Tree,Hard,Trees,No
108,545,Boundary of Binary Tree,Medium,Trees,No
109,103,Binary Tree Zigzag Level Order Traversal,Medium,Trees,No
110,129,Sum Root to Leaf Numbers,Medium,Trees,No
111,450,Delete Node in a BST,Medium,Trees,No
112,108,Convert Sorted Array to Binary Search Tree,Easy,Trees,No
113,208,Implement Trie (Prefix Tree),Medium,Tries,No
114,211,Design Add and Search Words Data Structure,Medium,Tries,No
115,212,Word Search II,Hard,Tries,No
116,648,Replace Words,Medium,Tries,No
117,421,Maximum XOR of Two Numbers in an Array,Medium,Tries,No
118,703,Kth Largest Element in a Stream,Easy,Heap,No
119,1046,Last Stone Weight,Easy,Heap,No
120,973,K Closest Points to Origin,Medium,Heap,No
121,215,Kth Largest Element in an Array,Medium,Heap,No
122,621,Task Scheduler,Medium,Heap,No
123,355,Design Twitter,Medium,Heap,No
124,295,Find Median from Data Stream,Hard,Heap,No
125,767,Reorganize String,Medium,Heap,No
126,253,Meeting Rooms II,Medium,Heap,No
127,264,Ugly Number II,Medium,Heap,No
128,692,Top K Frequent Words,Medium,Heap,No
129,632,Smallest Range Covering Elements from K Lists,Hard,Heap,No
130,78,Subsets,Medium,Backtracking,No
131,39,Combination Sum,Medium,Backtracking,No
132,46,Permutations,Medium,Backtracking,No
133,90,Subsets II,Medium,Backtracking,No
134,40,Combination Sum II,Medium,Backtracking,No
135,79,Word Search,Medium,Backtracking,No
136,131,Palindrome Partitioning,Medium,Backtracking,No
137,17,Letter Combinations of a Phone Number,Medium,Backtracking,No
138,51,N-Queens,Hard,Backtracking,No
139,37,Sudoku Solver,Hard,Backtracking,No
140,77,Combinations,Medium,Backtracking,No
141,93,Restore IP Addresses,Medium,Backtracking,No
142,200,Number of Islands,Medium,Graphs,No
143,695,Max Area of Island,Medium,Graphs,No
144,133,Clone Graph,Medium,Graphs,No
145,286,Islands and Treasure (Walls and Gates),Medium,Graphs,No
146,994,Rotting Oranges,Medium,Graphs,No
147,417,Pacific Atlantic Water Flow,Medium,Graphs,No
148,130,Surrounded Regions,Medium,Graphs,No
149,207,Course Schedule,Medium,Graphs,No
150,210,Course Schedule II,Medium,Graphs,No
151,684,Redundant Connection,Medium,Graphs,No
152,323,Number of Connected Components in an Undirected Graph,Medium,Graphs,No
153,261,Graph Valid Tree,Medium,Graphs,No
154,127,Word Ladder,Hard,Graphs,No
155,126,Word Ladder II,Hard,Graphs,No
156,269,Alien Dictionary,Hard,Graphs,No
157,743,Network Delay Time,Medium,Graphs,No
158,787,Cheapest Flights Within K Stops,Medium,Graphs,No
159,332,Reconstruct Itinerary,Hard,Graphs,No
160,1584,Min Cost to Connect All Points,Medium,Graphs,No
161,778,Swim in Rising Water,Hard,Graphs,No
162,1514,Path with Maximum Probability,Medium,Graphs,No
163,399,Evaluate Division,Medium,Graphs,No
164,70,Climbing Stairs,Easy,1D DP,No
165,746,Min Cost Climbing Stairs,Easy,1D DP,No
166,198,House Robber,Medium,1D DP,No
167,213,House Robber II,Medium,1D DP,No
168,5,Longest Palindromic Substring,Medium,1D DP,No
169,647,Palindromic Substrings,Medium,1D DP,No
170,91,Decode Ways,Medium,1D DP,No
171,322,Coin Change,Medium,1D DP,No
172,152,Maximum Product Subarray,Medium,1D DP,No
173,139,Word Break,Medium,1D DP,No
174,300,Longest Increasing Subsequence,Medium,1D DP,No
175,416,Partition Equal Subset Sum,Medium,1D DP,No
176,377,Combination Sum IV,Medium,1D DP,No
177,337,House Robber III,Medium,1D DP,No
178,279,Perfect Squares,Medium,1D DP,No
179,343,Integer Break,Medium,1D DP,No
180,55,Jump Game,Medium,1D DP,No
181,45,Jump Game II,Medium,1D DP,No
182,62,Unique Paths,Medium,2D DP,No
183,63,Unique Paths II,Medium,2D DP,No
184,1143,Longest Common Subsequence,Medium,2D DP,No
